-	\nenter\nv.\n～に入り込む | enter ~\nCentral
raklya	[rakurya]\nv.\n涙する\ncry, weep\nCult Ciel Note
rana	[ra^na]\nv.\n駆ける\nrun, dash\nCentral Standard Note
rannef	[raniefu]\nn.\n謝礼\nreward\nCentral Standard Note
rasse	[rasse^]\nv.\nエールを送る\nto yell\nCentral Standard Note
raudl	[raudouru]\nn.\n姿、形、フォーム\nform, shape\nNew Testament of Pastalie
rawah	[rawa]\nn.\n花\nflower\nNew Testament of Pastalie
re	[re]\npre\n～される（受身の助詞）\n(passive verb prefix)\nCentral Standard Note
reen	[ri^n]\nv.\n聴く\nhear, listen\nCentral Standard Note
repoear	[repoea]\nn.\n感謝\nthanks, gratitude\nCentral Standard Note
reta	[reta]\npre.\nどうか～\nPlease...\nNew Testament of Pastalie
rete	[rete]\nn./v.\n忘れる、失念する、忘却\nforget, forgetfulness, oblivion\nCult Ciel Note
revatail	[re^vateiru]\nn.\nレーヴァテイル\nReyvateil (an artificial life form)\nMetafalss Note
reveris	[reberisu]\nn.\n夢魔 悪夢 迷夢\ndream demon, nightmare, delusion\nCentral Standard Note
revm	[remu]\nn.\n夢\ndream\nCentral Standard Note
ridalnae	[ridaruna^e]\nadj.\nかけがえのない\nirreplaceable\nMetafalss Note
rifaiah	[?]\nadjective, adverb\n甦りの \nborne of revival \nUnknown [Unofficial]
rifaien	[ri^faien]\nv.\n甦る\nresurrect, revive\nMetafalss Note
rinc	[?]\nv.\n同期する\nsynchronize, feel the same\nUnknown [Unofficial]
riomo	[rio^mo]\nv.\n(物、状態、状況を)与える 齎す\nto give a, to present a (thing, condition, state)\nCluster Note
rippllys	[ripurisu]\nn./v.\n返事をする、応答する、返事、応え\nreply, answer\nCentral Standard Note
riura	[?]\nnoun\n表情、顔 \nface, facial expression \nUnknown [Unofficial]
rivire	[rivire]\nn.\n川\nriver\nCentral Standard Note
riya	[?]\nn.\n誠実\nsincerity\nUnknown [Unofficial]
rol	[roru]\nconj.\n～のように\nas if, like\nCentral Standard Note
roon	[?]\nnoun\n館 \nmansion \nUnknown [Unofficial]
rooshellan	[?]\nnoun\nゆりかご \ncradle \nUnknown [Unofficial]
rosa	[rosa]\nn.\n薔薇、バラの花\nrose, rose petal\nCentral Standard Note
rre	[re]\npre\n（主語定義）\n(subject marker)\nCentral Standard Note
rudje	[rujie]\nadj./n.\n赤 赤い 紅\nred, scarlet, crimson\nCentral Standard Note
ruinie	[ruinie]\nv.\n破壊する\ndestroy\nCentral Standard Note
ruinien	[?]\nn.\n破壊\ndestruction\nUnknown [Unofficial]
rum	[?]\nn.\n炎\nflame\nUnknown [Unofficial]
ryewa	[riewa]\nadj.\n生い茂った\novergrown\nNew Testament of Pastalie
ryushe	[?]\nverb\n旅に出る \ndepart on a journey \nUnknown [Unofficial]
ryusse	[ryu^ji^]\nn.\n旅行、旅\njourney, trip\nCult Ciel Note
s.l.	[shiru]\nE.v.\n信じる\nbelieve, trust\nNew Testament of Pastalie
s.l.y.	[?]\nE.v.\n与える\ngive, award, convey\nPastalie [Unofficial]
s.n.k.k.	[sunku]\nE.v.\n芽吹く\nbud (plant)\nNew Testament of Pastalie
s.s.w.	[su^u]\nE.v.\n言う、告げる、語る\nsay, speak, inform\nNew Testament of Pastalie
sa	[sa]\nn.\n業 カルマ\nkarma\nCentral Standard Note
saash	[sa^shu]\nn.\n神\nGod, gods\nCentral Standard Note
sabl	[saburu]\nn.\n砂\nsand\nCentral Standard Note
sacra	[?]\nn.\n血\nblood\nUnknown [Unofficial]
sallogna	[saroguna]\nv.\n寝転ぶ 横たわる 横になる 横にする\nlie down, stretch, rest\nCentral Standard Note
sanctum	[sankutoumu]\nn.\n箱舟\nark\nCentral Standard Note
sar	[sa^]\nn.\n空 (語呂の問題で、同じ単語が何度も頻出してしまうため、ファンタスマゴリアのためにシュレリアが紡いだワード。)\nsky (Note: Word crafted by Shurelia for Phantasmagoria, because of the problem that represented the use of ""ciel"" given its two meanings).\nAlpha Note (EOLIA)
sara	[sara]\nn.\n草\ngrass\nCentral Standard Note
sarla	[sarura]\nn.\n詩\nsong\nMetafalss Note
sarr	[sa^ru]\nn.\n陽光、輝き\nsunlight, radiance\nNew Testament of Pastalie
sarrifis	[sarifisu]\nv.\n（生贄を）捧げる\noffer (a sacrifice)\nCentral Standard Note
sarsa	[sa^sa]\nn.\n雨\nrain\nNew Testament of Pastalie
sash	[?]\nv.\n散らす\nscatter\nUnknown [Unofficial]
sasye	[sashie]\nn.\n少女\ngirl, young woman\nCentral Standard Note
savath	[sa^basu]\nv.\nほとばしる\nsurge, gush out\nCult Ciel Note
sechel	[sekeru]\nn.\n都市\ncity\nNew Testament of Pastalie
sefanl	[sefanru]\nn.\n森\nforest\nNew Testament of Pastalie
selena	[serena]\nv.\n奏でる\nplay (a instrument)\nMetafalss Note
sephaje	[?]\nn.\n創世\ncreation of the world\nUnknown [Unofficial]
sev	[sevu]\nconj.\n～の時に\nat the time of ~, when ~\nNew Testament of Pastalie
sguela	[?]\nadjective\n大切な \nprecious, important \nUnknown [Unofficial]
shazra	[shazura]\nn.\n荊の蔓、茨、棘 (棘を持つ植物)\nthorny vine, thorn, thorny shrub (Note: Used only for plants that have thorns)\nCentral Standard Note
sheak	[shieaku]\nn.\n太陽\nsun\nCult Ciel Note
sheaken	[?]\nn.\n左\nleft\nUnknown [Unofficial]
shefra	[?]\nn.\n創世\ncreation of the world\nUnknown [Unofficial]
shell	[?]\nn.\n殻（の中）\n(inside a) shell\nUnknown [Unofficial]
shellan	[shieran]\nn.\n鳥かご、籠、檻、ケージ\nbirdcage, cage, basket, pen\nMetafalss Note
shen	[shien]\nn.\n光\nlight\nCentral Standard Note
shyun	[?]\nadjective, noun\n哀しみ \nsadness, grief \nUnknown [Unofficial]
sial	[sharu]\nadj.\n少しの、ちょっとの\na bit, a little\nCentral Standard Note
siance	[shanshie]\nn.\n聖域、尊い場所、理想郷\nholy land, sanctuary, utopia\nNew Testament of Pastalie
siann	[shan]\nn.\n光 (LYAをつけると意訳で「焔の御子」)\nlight (Note: if it's preceeded by a ""LYA"" emotion vowel, its meaning changes to ""Maiden of Homura"")\nNew Testament of Pastalie
sielp	[shierupu]\nn.\nせせらぎ\nbrook, murmur\nCentral Standard Note
sik	[shiku]\nv.\n離れる\nleave, move away from\nCult Ciel Note
siss	[?]\nv.\n消す\nerase, put out, eliminate\nUnknown [Unofficial]
skit	[sukitto]\nv.\n約束する\npromise\nCult Ciel Note
slep	[surepu]\nv.\n眠る\nsleep\nCentral Standard Note
slepir	[surepia]\nv.\n眠らせる、(活動を)停止させる\nput to sleep, stop (an activity)\nMetafalss Note
so	[?]\nconj.\nそんなに、それほど\nin such a way, so much\nUnknown [Unofficial]
soare	[?]\nn.\n詩, 祈り\nsong, prayer\nUnknown [Unofficial]
sol	[soru]\nv.\n（日の光が）輝く、燦々と照りつける (ただし、sol cielという熟語でこの世界「ソル・シエール」を指す。ただし標準律では世界を指すときに「ar ciel」といい、「sol ciel」とは言わない。この世界をsol cielと言うのはあくまで古メタファルス律のみ。)\n(daylight) shines, shine down brilliantly (Note: However, the phrase ""Sol Ciel"" refers to the region of the first Ar tonelico tower, and was to be used as the name of the world. It's because there was already a phrase in Central Standard Note for this world, ""Ar Ciel"", that ""Sol Ciel"" ended becoming only the name of the region of the first tower. That region owes its name to the Ancient Metafalss Note.)\nMetafalss Note
sonwe	[son'ue]\nv.\n歌う\nsing\nMetafalss Note
sor	[soa]\npro.\nそれ\nthat\nCentral Standard Note
sorr it	\nconj.\nそれ\nit's that way\n
sorra it	\nconj.\nそれ?牢獄?\nin those ways,\n
sos	[sosu]\nconj.\n～ために\nfor, because of, for the sake of\nCentral Standard Note
sosar	[sosaru]\nn.\n魔術、魔力 (mayaという魔法を現すヒュムノス語もありますが、そちらよりも、より呪文に特化したイメージです。(mayaは神秘的なニュアンスを含んだ言葉。maya=ミラクル。sosar=ソーサリー…みたいな位置づけ。)\nmagic, magical power (Note: Even if the magic that manifests through Hymmnos is called ""maya"", actually the spells have a much more specialized image. ""maya"" has a nuance of miracles made by the power of the gods, while sosar... its more similar to standard sorcery).\nCentral Standard Note
sphaela	[sufaiera]\nn.\n世界\nworld\nNew Testament of Pastalie
sphilar	[sufi^ra]\nn.\n精神、心\nmind, spirit\nMetafalss Note
spiritum	[supiritoumu]\nadj./n.\n魂 魂の\nsoul, of the soul\nCentral Standard Note
spitze	[shupittsue]\nn.\n自由\nfreedom\nCentral Standard Note
ssvid	[?]\nv.\n生き凌ぐ\noutlive\nUnknown [Unofficial]
stel	[suteru]\nv.\n取る、奪う、盗む (強引に取る場合。負の行動としての取る。)\ntake, steal, snatch away (Note: Used when one takes something from other person by force. Used usually by the one that lost the stolen thing)\nCentral Standard Note
stelled	[suteredo]\nv.\n取り合う、奪い合う (強引に取り合う場合。負の行動としての取る。)\ncompete, struggle for (Note: Used for fierce battles or competitions. Used usually by the loser.)\nCentral Standard Note
suwant	[suwanto]\nv.\n救う、助ける\nsave, rescue, help\nCentral Standard Note
swant	\nv.\n助ける、救う\nhelp, save, rescue\nCentral
syalea	[?]\nn.\n決意\ndecision, resolve\nUnknown [Unofficial]
syana	[?]\nnoun, verb\n木霊、木霊する \necho, resound \nUnknown [Unofficial]
syast	[shasuto]\nv.\n集う、集結する\ncongregate, gather\nCentral Standard Note
syec	[seku]\nn.\n深淵、深いところ (物理的ではない、主に「心」やメンタル、精神世界の表現語として使う。)\nabyss, depths (Note: Not used to refer to a physical abyss, but rather to a mental one. This word is usually used to represent the Soulspace).\nCult Ciel Note
syezo	[?]\nnoun\nスープ \nsoup \nUnknown [Unofficial]
synk	[shinku]\nv.\n重なる\noverlap, pile up\nCentral Standard Note
syunaht	[shunatto]\nverb\n消え去る、消し飛ぶ \ndissolve, scatter, vanish \nCult Ciel Note
t.h.s.	[?]\nE.v.\n外に出る\ngo outside\nPastalie [Unofficial]
t.k.d.	[tokuto]\nv.\n届く\nreach\nNew Testament of Pastalie
t.n.	[toun]\nv.\n止める、やめる\nstop, end\nNew Testament of Pastalie
t.n.m.n.	[tonmun]\nv.\n(種を)まく、植える\nscatter (seeds), (to) plant\nNew Testament of Pastalie
t.r.m.	[torumu]\nv.\n展開する、咲かせる、実現する\ndevelop, make bloom, realize\nNew Testament of Pastalie
tafane	[?]\nadj.\n輝く\nglittering, sparkling\nPastalie [Unofficial]
talam	[ta^ran]\nadj.\n東雲色\ndawn's color\nNew Testament of Pastalie
tanta	[tanta]\nv.\n舞う\ndance\nCentral Standard Note
tapa	[tapa]\nn.\n水\nwater\nNew Testament of Pastalie
tarfe	[ta^fe]\nv.\n止まる、留まる\nstop, halt\nCentral Standard Note
targue	[ta^gue]\nconj.\nたとえ～だとしても\neven if ~ is the case\nNew Testament of Pastalie
tasyue	[ta^shue]\nv.\n捧げる\noffer, sacrifice\nMetafalss Note
tatakaria	[?]\nnoun\n命たち、全ての命 \nexistences, beings, lives \nUnknown [Unofficial]
tek	[teku]\nv.\n行く\nGo\nCentral Standard Note
tes	[tesu]\nconj.\n～に、～へ\nat ~, to ~\nCentral Standard Note
teyys	[teisu]\nv.\n留まる、残る、居る、居座る (英語のstayと同義)\nhalt, remain, exist, stay (Note: Equivalent to the English ""stay"")\nCentral Standard Note
ther	[jia]\nconj.\nあれ、あの\nthat\nCentral Standard Note
tictim	[teikuteimu]\nv.\n操る、操作する、意のままにする\ncontrol, operate, do as one pleases\nCentral Standard Note
tie	[teie]\nconj.\n～に対して（対象を特定・指定する）\nin regards to... (specifying a subject)\nNew Testament of Pastalie
tienar	[?]\nadverb\n止まらない \nwithout stopping, without end \nUnknown [Unofficial]
tilanta	[?]\nverb\n流れこむ \nflow into \nUnknown [Unofficial]
tim	[?]\nn.\n時\ntime\nUnknown [Unofficial]
titia	[teiteia]\nn.\n善意、善性\ngood will, innate goodness of man\nNew Testament of Pastalie
titil	[teiteiru]\nn.\n小物\nsmall things, accesories\nCult Ciel Note
titilia	[teiteiria]\nadj.\n小さい\nsmall, little, tiny\nCult Ciel Note
toe	[?]\nadjective, verb\n? \nrise above, stand over \nUnknown [Unofficial]
tonelico	[?]\nn.\n神木\ndivine tree, (possible alternate meaning: tower)\nUnknown [Unofficial]
tou	[tou]\nconj.\n～に\nat ~, in ~, to ~\nCentral Standard Note
touwaka	[touwaka]\nE.s. II\n心に希望を秘める 望む（第Ⅱ想音）\nwishful, hiding wishes in my heart\nCentral Standard Note
trina	[?]\nverb\n気づいて \nnotice, become aware \nUnknown [Unofficial]
ttu	[tsutou]\nconj.\n～するために\nin order to do ~\nNew Testament of Pastalie
ture	[?]\nn.\n絆\nbonds\nUnknown [Unofficial]
tussu	[toussu]\nn.\n変化\nchange\nNew Testament of Pastalie
tyui	[touyui]\nadj.\n小さな\nSmall, little, tiny\nNew Testament of Pastalie
tyuss	[?]\nadj.\n優しい\ntender, kind\nPastalie [Unofficial]
ugi	[u^ji]\nv.\n決める\ndecide\nCult Ciel Note
uje	[?]\nadj.\n残酷\ncruel, evil\nUnknown [Unofficial]
ujes	[ujiesu]\nn.\n悪意\nill will\nNew Testament of Pastalie
unloee	[anroi]\nv.\n平伏す\nprostrate before\nCentral Standard Note
urgn	[urugun]\nn.\n嘆き\ngrief, lamentation\nNew Testament of Pastalie
urr	[uru]\nv.\n(見えなかったものが)顕れる、体現(する)、具現化(する)\n(something unseen) appears, manifests, incarnates\nCentral Standard Note
ut	[utou]\nconj.\n～に、～へ (to)\nat ~, to ~ (Note: Equivalent to the English ""to"")\nNew Testament of Pastalie
uteu	[uteu]\nv.\nまどろむ\ndoze off\nCult Ciel Note
v.a.	[va]\nv.\n生む、紡ぐ\nproduce, craft\nNew Testament of Pastalie
v.s.k.	[visuku]\nv.\n体感する、実感する。経験する\nsense physically, feel, experience\nNew Testament of Pastalie
v.t.	[vutsu]\nv.\n生きる\nlive\nNew Testament of Pastalie
vaffa	[?]\nverb\n掃う \nclear away, sweep away \nUnknown [Unofficial]
vale	[?]\nnoun\nベッド \nbed \nUnknown [Unofficial]
valwa	[baruwa]\nv.\n浄化する\npurify\nCentral Standard Note
vamue	\n\n\n(unknown meaning)\n
van	[van]\nconj.\n～であっても、しようとも\neven if ~, even should ~ happen\nMetafalss Note
varda	[varuda]\nn.\n大樹\nbig tree\nMetafalss Note
vega	[vega]\nn.\nここ、この\nhere, this\nNew Testament of Pastalie
vege	[vejie]\nn.\nそこ、その\nthere, that\nNew Testament of Pastalie
vianchiel	[vianshie^ru]\nn./adj.\n無垢の、穢れなき、清らかな、美しい\npure, undefiled, clean, beautiful\nMetafalss Note
viega	[vie^ga]\nn.\n刃、剣\nblade, sword\nMetafalss Note
vigiga	[?]\nadjective, noun\n冷たく \ncold \nUnknown [Unofficial]
vinan	[vinan]\nn./adj.\n白, 白い\nwhite\nCentral Standard Note
vine	[vi^ne]\nn.\n酒・果実酒・葡萄酒 (酒精の代名詞)\nalcohol, liquor, wine (Note: general pronoun for alcoholic beverages)\nCentral Standard Note
viss	[visu]\nv.\n読む、読み取る\nread, read between the lines\nCentral Standard Note
vit	[vitto]\nv.\n見る\nsee, watch\nCult Ciel Note
viuy	[?]\nadj.\n暗く翳した\ndarkened\nUnknown [Unofficial]
vl	[?]\nconj.\n～から, ～に\nsince, from, in\nUnknown [Unofficial]
vonn	[von]\nn./adj.\n闇\ndark, darkness\nCentral Standard Note
w.f.	[ufu]\nv.\n～したい\nwant to do ~\nNew Testament of Pastalie
w.h.h.	[wou]\nv.\n感じる\nfeel, sense\nNew Testament of Pastalie
w.n.s.	[unsu]\nv.\n訪れる, 響く\nvisit, echo\nNew Testament of Pastalie
w.r.l.	[ururu]\nv.\n目指す\naim at, have an eye on\nNew Testament of Pastalie
w.r.m.	[warumu]\nv.\n照らす\nshine on, illuminate\nNew Testament of Pastalie
w.s.	[usu]\nv.\n与える\ngive\nNew Testament of Pastalie
w.s.s.	[?]\nv.\n讃える\npraise\nPastalie [Unofficial]
w.w.j.n.c.	[u^janku]\nv.\n共鳴する\nresound, sympathize\nNew Testament of Pastalie
wa	[wa]\nE.S.III\nどちらでもない 今、有るがままの状況を受け入れる（第Ⅲ想音）\nit doesn't matter - I will accept things the way they are now\nCentral Standard Note
waa	[waa]\nE.S.II\n嬉しい(第Ⅱ想音)\nhappy\nMetafalss Note
waath	[wa^su]\nv.\n再生する\nrevive, rebirth\nCentral Standard Note
waats	[wa^tsu]\nadj.\n大切な\nimportant\nCentral Standard Note
wael	[wae^ru]\nn./v.\n喜び\njoy, delight\nCentral Standard Note
walaen	[waraen]\nn.\n人生\n(human) life\nCult Ciel Note
walaka	[waraka]\nv.\n歩く\nwalk\nCentral Standard Note
walasye	[wara^shie]\nn.\n人間\nhuman, people\nCult Ciel Note
walphish	[warufisshu]\nn.\n人魚 (第一紀に海に住んでいた神)\nmermaid, merman (Note: A god/dess that used to live in the oceans during the First Era)\nCult Ciel Note
warce	[wa^shie]\nv./n.\n祝福(する)、祝い\nbless(ing), celebration\nCentral Standard Note
ware	[wa^re]\nconj.\n～の時に、～の中で\nduring ~, in the middle of ~\nCentral Standard Note
warma	[wa^ma]\nadj.\n温かい\nwarm\nCentral Standard Note
wart	[wa^to]\nn.\n言葉\nword\nCentral Standard Note
wasara	[wasara]\nadj./n.\n豊か\nabundant, abundance\nCentral Standard Note
wase	[ueizu]\nadj./n.\n強烈な\nstrong, intense\nCult Ciel Note
wassa	[wassa]\nn.\n祭典\nfestival, feast\nCult Ciel Note
wassee	[?]\nv.\n讃える\npraise\nUnknown [Unofficial]
watt	[watto]\nv.\nびっくりする\nsurprise, scare\nCult Ciel Note
waze	[?]\nconj.\n多\ntoo much\nUnknown [Unofficial]
we	[ue]\nconj.\n～よりも\neven more than ~\nCentral Standard Note
weak	[uiaku]\nn.\n月\nmoon\nCentral Standard Note
weaken	[?]\nn.\n右\nright\nUnknown [Unofficial]
weal	[?]\nadj./E. s. II\n喜び\nhappy, glad\nUnknown [Unofficial]
wearequewie	[wa^rekuwaie]\nv.\n望む、願う、希望する\nwish, desire, pray, request for, hope for\nMetafalss Note
weel	[ui^]\nv.\n叶って！\nCome true!, Be realized!\nCentral Standard Note
ween	[uin]\nconj.\n～の中に、中で（状態を表す助詞） (英語のinと同義（文脈によっては必ずしも必要ではない）)\ninside of ~, in ~ (particle to indicate current condition) (Note: Equivalent to the English ""in"", though it's not always necessary, depending on the context)\nCentral Standard Note
wefa	[?]\nadj.\n暖かな\nwarm, mild\nPastalie [Unofficial]
werllra	[uirura]\nn.\n涙、雫\ntear, drop\nMetafalss Note
werlwe	[uiruue]\nv.\n泣く、涙する\ncry, shed tears\nMetafalss Note
whai	[fai]\nconj.\nなぜ～ なのだろう\nwhy\nCentral Standard Note
whalt	[?]\nconj.\n何\nwhat\nUnknown [Unofficial]
wharn	[wa^n]\nn.\n腕\narm\nCentral Standard Note
whou	[fou]\nconj.\n～する者\nwho, person who ~\nCentral Standard Note
wi	[ui]\nconj.\nその、そこの\nthat, the one there\nCentral Standard Note
wiaa	\n\n\n(unknown meaning)\n
wiene	[?]\nn.\n音色\nmelody, tone, timbre\nUnknown [Unofficial]
willie	[uiri]\nadj.\n弱い、儚い\nweak, transient\nCentral Standard Note
wim	[uimu]\nn.\n娘\ngirl, daughter\nCentral Standard Note
windiling	[?]\nn.\n風の精\nspirit of the wind\nUnknown [Unofficial]
wirtamarls	[?]\nadjective, noun\n静か \ntranquil, tranquility \nUnknown [Unofficial]
wis	[visu]\nv.\n～である\nbe, is\nMetafalss Note
wol	[voru]\nE.S.II\n猛進、熱血（第Ⅱ想音）\nfervor, rush\nCentral Standard Note
won	[uon]\nconj.\n～の上（表面）に（状態を表す助詞） (英語のonと同義)\nabove (on the surface) of ~ (particle to indicate current condition) (Note: Equivalent to the English ""on"")\nCentral Standard Note
x.	[zu]\nE.v.\n(主語動詞)\n(subject marker)\nNew Testament of Pastalie
x.y.n.	[?]\nE.v.\n傷つく\nhurt, injure\nPastalie [Unofficial]
xava	[?]\nn.\n傷\nwound\nUnknown [Unofficial]
xe	[ji]\nconj./v.\n給え (より塔に尊敬の感情を明確に伝えたい場合に使用する。 例：xe khal(護り給え) あまり常用される単語ではない。)\nplease (used before a verb), bestow, grant, receive (Note: Used when someone wants to state a feeling of great respect for the tower. Example: xe khal (please, protect me) It's not a daily used word)\nCluster Note
xel	[?]\nconj.\n～から（時間）\nsince ~ (time)\nUnknown [Unofficial]
xest	[zesuto]\nv.\n変換する\nchange, transform\nCult Ciel Note
xevxl	[?]\nn.\n絶望\ndespair\nUnknown [Unofficial]
xl	[kuseru]\nconj.\n～の時から\never since ~\nCentral Standard Note
xorg	[?]\nadj.\n傲慢な\nproud\nUnknown [Unofficial]
y.m.q.	[yanku]\nv.\n実る\nbear fruit, ripen\nNew Testament of Pastalie
y.y.	[yaya]\nv.\n癒す\nheal, cure\nNew Testament of Pastalie
y.z.t.	[yazutto]\nv.\n願う\nwish, desire, request\nNew Testament of Pastalie
yaha	[yaha]\nv.\n笑う\nlaugh, smile\nCentral Standard Note
yanje	[yanie]\nadv.\nずっと、永遠に\nforever, eternally\nCentral Standard Note
yant	[yanto]\nE.s.II\n恐慌状態（第Ⅱ想音）\nfrightened, scared\nMetafalss Note
yanwe	[yan'ue]\nv.\n大事にする\ntreat with care\nCentral Standard Note
yanyaue	[yanyaue]\nadj.\n大切な\nimportant, valuable\nMetafalss Note
yart	[ya^to]\nv.\n出逢う\nmeet (by chance), come across\nCentral Standard Note
yaserwe	[yasa^ue]\nv.\nリラックスする、安らぐ\nrelax, feel at ease\nCentral Standard Note
yasra	[yasura]\nadj.\n優しい、穏やか\ngentle, kind, calm, quiet\nMetafalss Note
yassa	[yassa]\nv.\nクリアする、達成する\nclear, achieve\nCentral Standard Note
yatse	[yasse]\nv.\n（肯定的な感情を）与える\ngive (positive emotions)\nCentral Standard Note
yea	[iea]\nE.s.II\n嬉しい（第Ⅱ想音）\nhappy\nCentral Standard Note
yeal	[ie^a]\nn.\n線、紐\nline, beam, wire, string\nCult Ciel Note
yeeel	[ie^ru]\nadj.\n遠い\nfar, distant\nCult Ciel Note
yehah	[ieha^]\nn.\n幸せ\nhappiness, good fortune\nCentral Standard Note
yehar	[ieha^ru]\nv.\n解放する、解き放つ\ndeallocate, unleash, release\nMetafalss Note
yerwe	[ie^ue]\nv.\n鳴く\nchirp, bark, purr\nMetafalss Note
yesse	[?]\nverb\n育む \nrear, raise \nUnknown [Unofficial]
yetere	[ie^tere]\nadv.\nそうすれば～\nif so, in that case\nCentral Standard Note
yor	[yoa]\nn.\nあなた\nyou (object)\nCentral Standard Note
yora	[yora]\nn.\nあなたたち\nyou (plural object)\nCentral Standard Note
yorr	[yoruru]\nn.\nあなた（主語定義）\nyou (subject)\nCentral Standard Note
yorra	[yorurura]\nn.\nあなたたち（主語定義）\nyou (plural subject)\nCentral Standard Note
yos	[yosu]\nadv.\n貴方が、貴方の\nyour, yours\nCentral Standard Note
yosyua	[yoshua]\nv.\n～を慰める\ncomfort, console, amuse\nCentral Standard Note
yuez	[yueze]\nadv.\n互いに\nmutually, reciprocally\nCentral Standard Note
yulun	[?]\nverb\nとかす \ndissolve, homogenise \nUnknown [Unofficial]
yura	[yura]\nn.\n力のバランス\nbalance of power\nCentral Standard Note
z.z.x.	[zui^kusu]\nv.\n絶望する\n(to) despair\nNew Testament of Pastalie
zaam	[?]\nnoun\n海原 \nsea, ocean \nUnknown [Unofficial]
zadius	[zadeiusu]\nn.\n憎悪\nhatred\nMetafalss Note
zaffur	[?]\nv.\n対抗、あがき\nstruggle, oppose\nUnknown [Unofficial]
zahha	[zahha]\nv.\n進む、進行 (騎士隊のように、大勢で行軍するときに用いる。勇敢な様。)\nadvance, improve (Note: Used for the marching of a great number of people, such as knight company. Has heroic connotations).\nCult Ciel Note
zalez	[za^rezu]\nn.\n滝\nwaterfall\nNew Testament of Pastalie
zarle	[za^ru]\nv.\n(雨が)降る、降り注ぐ\nfall (rain), downpour\nCentral Standard Note
zarnn	[?]\nn.\n嵐\nstorm, tempest\nUnknown [Unofficial]
zash	[zasshu]\nadj./n.\n痛い、苦痛\npainful, pain, agony\nCentral Standard Note
zassyen	[zasshien]\nv.\n泳ぐ\nswim\nCentral Standard Note
zauve	[za^be]\nn./adj.\n怜悧な\nclever, sagacious\nCult Ciel Note
zeeth	[ji^zu]\nn.\n鎖\nchain, chains\nCentral Standard Note
zenva	[tsuenva]\nv.\n飛び越える、超越する\njump over, clear, transcend\nCentral Standard Note
zess	[zesu]\nadv.\n～ように\nlike ~\nNew Testament of Pastalie
zethpa	[zesupa]\nv.\n斬りつける\ncut, slash\nCentral Standard Note
zetsfy	[zettsufai]\nn.\n残酷\ncruelty, harshness\nCult Ciel Note
zixxa	[?]\nnoun\n意地 \nattitude, disposition, spirit \nUnknown [Unofficial]
zodal	[zodaru]\nn./v.\n死せる、死の\ndeath, die, of death\nMetafalss Note
zodaw	[zodau]\nn.\n死\ndeath\nMetafalss Note
zuieg	[zuui^gu]\nn./adj.\n権力、権限\n(political) power, authority, influence\nAlpha Note (EOLIA)
zweie	[tsuvaie]\nE.s.II\n決意を心に秘める 真摯（第Ⅱ想音）\nhiding determination in the heart, sincerity, earnestness\nCentral Standard Note
zwihander	[tsuvaihenderu]\nn./v.\n勝利(する)、勝ち\nsuccess, win, triumph, victory\nCentral Standard Note
zz	[zu^]\nadv.\n否定\nnegation, denial, un-\nNew Testament of Pastalie
